TEMP,pH,Conc
41.46,4.5,5.33578
30.17,5,9.88329
34.78,3,2.67844
25.47,6.5,7.17545
48.2,8,9.6954
49.64,6,16.07528
41.63,4.5,5.35159
22,5,6.796
35.57,5,10.62309
31.63,3,2.36974
46.21,7,10.28972
43.91,6,15.20432
20.23,6,7.47992
36.16,6,13.01256
43.84,7,9.97688
28.88,8,6.01152
43.59,4.5,5.53387
38.26,2,2.28948
22.42,6,8.14568
21.88,6,7.98152
36.13,6,13.00008
38.33,6.5,10.85562
28.36,8,5.84044
27.22,2,1.06856
41.52,7,9.67064
28.84,4.5,4.63796
44.45,5,11.53705
41.34,3,3.34142
24.76,8,4.65604
38.01,2,2.26498
44.79,3,3.73127
45.83,8,9.34701
31.93,7,7.61067
39.45,7,9.34328
27.74,6.5,7.7089
34.17,8,7.25987
38.2,3,3.0136
33.79,7,8.03922
43.16,2,2.65908
48.61,8,9.75567
42.8,6.5,11.6544
26.35,8,5.17915
33.3,6,11.8228
49.32,6.5,12.29336
26.74,2,0.99752
24.27,2,0.63196
39.87,7,9.44005
33.1,8,7.0341
25.46,6,9.06984
35.79,5,10.65323
33.22,2,1.79556
41.42,5,11.32798
28.87,5,9.42721
37.95,2,2.2591
49.63,6.5,12.32374
38.47,3,3.04006
25.91,7,6.10015
43.69,6,15.17088
47.62,4.5,5.90866
33.9,6,12.0724
46.61,5,11.68609
43.85,3,3.62505
27.06,8,5.41274
33.51,5,10.34087
39.83,8,8.45413
49.3,7,10.6976
29.04,3,1.99784
28.85,5,9.41955
29.35,8,6.16615
30.21,5,9.88877
31.92,5,10.12304
42.49,3,3.47137
44,4.5,5.572
21.63,3,0.36023
29.39,3,2.07519
33.33,6,11.83528
31.62,6,11.12392
45.7,7,10.2224
40.71,8,8.59437
30.55,8,6.49605
35.74,6,12.83784
46.53,5,11.68057
33.87,7,8.05765
26.93,2,1.02564
25.74,5,8.22842
26.56,3,1.44976
35.2,7,8.36408
39.85,6,14.5476
48.35,3,4.13355
36.77,7,8.72581
30.29,4.5,4.67566
36.42,5,10.73954
24.96,4.5,4.56424
20.84,2,0.12432
44.95,6,15.3624
25.39,3,1.19119
25.83,2,0.86284
34.27,2,1.89846
37.69,8,8.00259
32.9,6,11.6564
47.79,5,11.76751
36.26,3,2.82348
37.09,3,2.90482
43.01,4.5,5.47993
32.38,6.5,8.98732
36,5,10.682
23.9,5,7.5237
24.38,5,7.70754
27.05,6,9.5532
43.67,7,9.95444
35.36,3,2.73528
39.16,2,2.37768
26.32,8,5.16928
27.24,5,8.80292
32.99,6.5,9.17886
26.01,2,0.88948
22.49,5,6.98367
36.66,7,8.70046
28.21,4.5,4.62599
34.58,5,10.48746
27.57,2,1.12036
37.48,6,13.56168
46.84,6,15.64968
49.08,2,3.03204
25.13,8,4.77777
48.71,2,3.00873
39.23,8,8.32753
45.58,6,15.45816
46.01,2,2.83863
37.27,8,7.91397
26.02,8,5.07058
39.42,8,8.36762
25.05,7,5.87603
26.66,6,9.43464
29.15,8,6.10035
25.69,3,1.25749
27.12,3,1.57352
20.61,6,7.59544
45.71,2,2.81973
22.02,6.5,6.3647
49.68,7,10.74776
28.27,7,6.71516
38.88,8,8.25368
26.03,5,8.33949
43.88,2,2.70444
28.14,2,1.20472
22.24,8,3.82696
46.68,8,9.47196
39.27,3,3.11846
22.84,7,5.3001
34.94,5,10.53678
37,4.5,5.038
31.82,5,10.10934
34,2,1.872
28.25,3,1.82325
37.2,8,7.8992
21.3,8,3.5177
48.94,7,10.65008
44.22,2,2.72586
39.14,4.5,5.15356
21.58,6,7.89032
37.53,7,8.90091
34.16,6,12.18056
49.79,6,16.09808
40.25,5,11.24725
43.97,3,3.63861
42.05,6,14.9216
26.68,5,8.58844
22.56,6.5,6.4916
28.77,6,10.07608
37.77,6,13.68232
39.52,6,14.41032
30.21,4.5,4.67134
38.01,7,9.0115
41.99,4.5,5.38507
44.99,2,2.77437
44.03,8,9.08241
44.44,4.5,5.61292
32.97,6,11.68552
29.06,6.5,8.0191
36.53,8,7.75783
25.71,8,4.96859
44.15,2,2.72145
39.75,4.5,5.1865
44.29,7,10.03628
40.79,4.5,5.27347
23.78,6,8.55912
25,7,5.863
42.27,6,14.95504
23.64,6,8.51656
26.7,6.5,7.4645
28.93,6.5,7.98855
33.62,2,1.83476
31.73,8,6.74503
43.46,7,9.92672
44.81,6.5,11.85138
47.34,4.5,5.88262
23.27,3,0.72267
42.37,5,11.39353
24.91,2,0.72668
32.24,4.5,4.78096
34.03,5,10.41211
34.89,3,2.68922
20.68,5,6.29044
33.4,4.5,4.8436
36.93,5,10.80941
20.21,4.5,4.47399
20.73,6.5,6.06155
42.16,4.5,5.40088
31.87,6.5,8.82718
28.8,7,6.85328
22.18,2,0.32264
38.48,3,3.04104
31.09,8,6.60999
24.57,6.5,6.96395
36.39,2,2.10622
39.28,4.5,5.16112
43.41,5,11.46529
41.98,6,14.91096
30.75,3,2.2835
45.85,5,11.63365
48.26,5,11.79994
25.57,2,0.82436
20.29,8,3.18541
48.59,7,10.60388
27.79,5,9.01357
31.69,2,1.64562
25.84,8,5.01136
42.34,6,14.96568
47.86,7,10.50752
27.95,8,5.70555
38.62,3,3.05476
45.47,2,2.80461
31.6,7,7.53464
39.59,6,14.43944
30.41,6.5,8.36874
29.49,7,7.03309
48.12,3,4.10756
30.05,8,6.39055
32.23,2,1.69854
34.33,3,2.63434
42.29,6.5,11.60442
28.59,8,5.91611
49.71,8,9.91737
43.71,3,3.60923
47.13,2,2.90919
27.69,2,1.13812
35.6,6.5,9.9984
33.45,8,7.10795
47.35,3,4.02055
20.63,3,0.13923
33.55,6.5,9.3547
33.16,6,11.76456
23.54,6,8.48616
44.94,6.5,11.86412
21.09,4.5,4.49071
43.93,8,9.06771
45.25,5,11.59225
45.93,6,15.51136
24.77,6,8.86008
41.28,6,14.80456
25.91,3,1.30611
35.54,7,8.44242
28.4,7,6.74904
45.84,3,3.84992
34.38,7,8.17515
27.23,7,6.44414
26.44,3,1.42324
36.66,8,7.78526
23.5,6,8.474
23.62,6.5,6.7407
49.34,8,9.86298
43.56,6.5,11.72888
30.31,6.5,8.33734
28.49,6.5,7.88515
45.79,4.5,5.73847
32.74,6.5,9.10036
21.81,2,0.26788
25.8,7,6.07148
24.13,2,0.61124
39.91,8,8.47101
27.88,6.5,7.7418
34.88,4.5,4.92352
34.77,3,2.67746
37.65,3,2.9597
42.78,6,15.03256
41.66,4.5,5.35438
23.38,4.5,4.53422
25.84,3,1.29064
37.8,7,8.96312
45.94,5,11.63986
20.92,2,0.13616
32.95,8,7.00245
44.45,7,10.0574
34.66,8,7.36326
33.18,3,2.52164
43.18,3,3.54934
22.59,5,7.02197
30.07,3,2.21686
25.84,4.5,4.58096
36.09,3,2.80682
29.53,7,7.04352
23.99,3,0.88179
30.09,8,6.39899
